User,Compair_01,Compair_02,Result
User_011,Sample_082,Sample_115,-1
User_011,Sample_055,Sample_142,-1
User_011,Sample_042,Sample_092,-1
User_011,Sample_067,Sample_144,1
User_011,Sample_061,Sample_129,1
User_011,Sample_055,Sample_062,1
User_011,Sample_110,Sample_154,-1
User_011,Sample_059,Sample_060,-1
User_011,Sample_104,Sample_108,1
User_011,Sample_017,Sample_112,-1
User_011,Sample_080,Sample_099,-1
User_011,Sample_046,Sample_135,-1
User_011,Sample_036,Sample_044,-1
User_011,Sample_026,Sample_132,-1
User_011,Sample_041,Sample_148,-1
User_011,Sample_010,Sample_149,1
User_011,Sample_115,Sample_116,-1
User_011,Sample_088,Sample_091,-1
User_011,Sample_016,Sample_032,1
User_011,Sample_081,Sample_098,-1
User_011,Sample_026,Sample_101,-1
User_011,Sample_012,Sample_134,-1
User_011,Sample_116,Sample_129,1
User_011,Sample_069,Sample_140,1
User_011,Sample_036,Sample_115,-1
User_011,Sample_070,Sample_140,-1
User_011,Sample_009,Sample_117,-1
User_011,Sample_058,Sample_086,1
User_011,Sample_070,Sample_133,1
User_011,Sample_018,Sample_099,1
User_011,Sample_017,Sample_153,1
User_011,Sample_024,Sample_109,1
User_011,Sample_015,Sample_071,1
User_011,Sample_114,Sample_151,-1
User_011,Sample_139,Sample_158,-1
User_011,Sample_002,Sample_108,1
User_011,Sample_011,Sample_136,-1
User_011,Sample_012,Sample_136,-1
User_011,Sample_044,Sample_089,-1
User_011,Sample_005,Sample_086,1
User_011,Sample_061,Sample_122,1
User_011,Sample_057,Sample_108,1
User_011,Sample_055,Sample_134,1
User_011,Sample_086,Sample_109,1
User_011,Sample_058,Sample_126,1
User_011,Sample_046,Sample_143,1
User_011,Sample_036,Sample_098,1
User_011,Sample_024,Sample_036,1
User_011,Sample_031,Sample_060,-1
User_011,Sample_049,Sample_114,1
User_011,Sample_003,Sample_138,1
User_011,Sample_044,Sample_146,1
User_011,Sample_077,Sample_106,-1
User_011,Sample_046,Sample_061,-1
User_011,Sample_001,Sample_065,1
User_011,Sample_028,Sample_103,1
User_011,Sample_086,Sample_136,-1
User_011,Sample_033,Sample_126,1
User_011,Sample_122,Sample_139,1
User_011,Sample_106,Sample_156,1
User_011,Sample_087,Sample_151,-1
User_011,Sample_001,Sample_096,1
User_011,Sample_005,Sample_152,1
User_011,Sample_078,Sample_106,-1
User_011,Sample_068,Sample_103,1
User_011,Sample_038,Sample_063,1
User_011,Sample_016,Sample_134,1
User_011,Sample_077,Sample_098,1
User_011,Sample_068,Sample_090,1
User_011,Sample_076,Sample_104,1
User_011,Sample_052,Sample_109,1
User_011,Sample_080,Sample_115,-1
User_011,Sample_015,Sample_089,1
User_011,Sample_037,Sample_114,1
User_011,Sample_097,Sample_154,-1
User_011,Sample_030,Sample_076,1
User_011,Sample_074,Sample_131,-1
User_011,Sample_047,Sample_135,1
User_011,Sample_071,Sample_123,1
User_011,Sample_007,Sample_049,-1
User_011,Sample_040,Sample_055,-1
User_011,Sample_009,Sample_074,1
User_011,Sample_042,Sample_125,-1
User_011,Sample_065,Sample_095,-1
User_011,Sample_029,Sample_062,1
User_011,Sample_032,Sample_096,1
User_011,Sample_070,Sample_081,-1
User_011,Sample_021,Sample_152,1
User_011,Sample_058,Sample_122,1
User_011,Sample_026,Sample_055,1
User_011,Sample_021,Sample_113,1
User_011,Sample_083,Sample_152,1
User_011,Sample_012,Sample_047,-1
User_011,Sample_059,Sample_118,-1
User_011,Sample_032,Sample_107,-1
User_011,Sample_088,Sample_103,1
User_011,Sample_116,Sample_142,-1
User_011,Sample_002,Sample_005,-1
User_011,Sample_024,Sample_124,-1
User_011,Sample_003,Sample_070,1
User_011,Sample_133,Sample_140,1
User_132,Sample_014,Sample_141,-1
User_132,Sample_014,Sample_150,-1
User_132,Sample_129,Sample_150,-1
User_132,Sample_002,Sample_105,1
User_132,Sample_034,Sample_062,-1
User_132,Sample_077,Sample_148,-1
User_132,Sample_068,Sample_108,-1
User_132,Sample_078,Sample_115,-1
User_132,Sample_094,Sample_130,1
User_132,Sample_032,Sample_158,-1
User_132,Sample_107,Sample_127,-1
User_132,Sample_007,Sample_157,1
User_132,Sample_008,Sample_021,-1
User_132,Sample_154,Sample_157,1
User_132,Sample_155,Sample_157,1
User_132,Sample_017,Sample_077,1
User_132,Sample_042,Sample_137,1
User_132,Sample_116,Sample_122,1
User_132,Sample_034,Sample_157,1
User_132,Sample_084,Sample_109,-1
User_132,Sample_014,Sample_084,1
User_132,Sample_070,Sample_160,-1
User_132,Sample_026,Sample_104,1
User_132,Sample_079,Sample_152,1
User_132,Sample_104,Sample_151,-1
User_132,Sample_012,Sample_149,-1
User_132,Sample_109,Sample_128,1
User_132,Sample_075,Sample_094,-1
User_132,Sample_038,Sample_060,-1
User_132,Sample_042,Sample_133,-1
User_132,Sample_087,Sample_112,1
User_132,Sample_049,Sample_119,-1
User_132,Sample_078,Sample_145,-1
User_132,Sample_087,Sample_116,-1
User_132,Sample_057,Sample_117,-1
User_132,Sample_020,Sample_151,-1
User_132,Sample_039,Sample_056,-1
User_132,Sample_071,Sample_138,1
User_132,Sample_007,Sample_030,1
User_132,Sample_020,Sample_033,-1
User_132,Sample_048,Sample_155,-1
User_132,Sample_001,Sample_034,1
User_132,Sample_051,Sample_121,-1
User_132,Sample_010,Sample_160,1
User_132,Sample_063,Sample_134,-1
User_132,Sample_099,Sample_101,1
User_132,Sample_043,Sample_059,-1
User_132,Sample_013,Sample_076,-1
User_132,Sample_125,Sample_128,-1
User_132,Sample_013,Sample_158,-1
User_132,Sample_025,Sample_092,1
User_132,Sample_059,Sample_094,1
User_132,Sample_018,Sample_070,1
User_132,Sample_040,Sample_141,-1
User_132,Sample_011,Sample_048,-1
User_132,Sample_056,Sample_156,1
User_132,Sample_060,Sample_089,1
User_132,Sample_020,Sample_136,-1
User_132,Sample_051,Sample_112,1
User_132,Sample_006,Sample_040,1
User_132,Sample_024,Sample_152,1
User_132,Sample_122,Sample_124,1
User_132,Sample_043,Sample_071,-1
User_132,Sample_055,Sample_107,1
User_132,Sample_122,Sample_137,1
User_132,Sample_018,Sample_058,1
User_132,Sample_013,Sample_123,1
User_132,Sample_130,Sample_141,-1
User_132,Sample_031,Sample_079,1
User_132,Sample_066,Sample_088,1
User_132,Sample_043,Sample_111,-1
User_132,Sample_031,Sample_147,1
User_132,Sample_002,Sample_141,-1
User_132,Sample_054,Sample_138,1
User_132,Sample_059,Sample_155,1
User_132,Sample_077,Sample_110,-1
User_132,Sample_003,Sample_100,1
User_132,Sample_113,Sample_122,-1
User_132,Sample_034,Sample_036,1
User_132,Sample_078,Sample_156,-1
User_132,Sample_004,Sample_048,-1
User_132,Sample_055,Sample_152,1
User_132,Sample_024,Sample_046,-1
User_132,Sample_036,Sample_146,-1
User_132,Sample_048,Sample_072,-1
User_132,Sample_059,Sample_102,1
User_132,Sample_028,Sample_034,-1
User_132,Sample_027,Sample_093,1
User_132,Sample_029,Sample_069,-1
User_132,Sample_015,Sample_060,-1
User_132,Sample_005,Sample_135,1
User_132,Sample_048,Sample_151,-1
User_132,Sample_003,Sample_091,1
User_132,Sample_095,Sample_102,-1
User_132,Sample_022,Sample_160,-1
User_132,Sample_084,Sample_149,-1
User_132,Sample_023,Sample_145,-1
User_132,Sample_018,Sample_093,1
User_132,Sample_010,Sample_037,1
User_132,Sample_115,Sample_152,1
User_132,Sample_036,Sample_093,-1
User_253,Sample_018,Sample_087,1
User_253,Sample_090,Sample_121,-1
User_253,Sample_056,Sample_078,-1
